"","Countycode","GEOID","NAMELSAD","status","County_Name","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"1",143,51143,"Pittsylvania County","High in USDA data not in DEQ","PITTSYLVANIA",3717,3533,184,5.21,4.95,183.9915
"2",117,51117,"Mecklenburg County","High in USDA data not in DEQ","MECKLENBURG",2760,2694,66,2.45,2.39,65.964
"3",175,51175,"Southampton County","High in USDA data not in DEQ","SOUTHAMPTON",3246,3218,28,0.87,0.86,27.9156
"4",83,51083,"Halifax County","High in USDA data not in DEQ","HALIFAX",2152,1929,223,11.56,10.36,222.9472
"5",193,51193,"Westmoreland County","High in USDA data not in DEQ","WESTMORELAND",1642,1640,2,0.12,0.12,1.9704
"6",25,51025,"Brunswick County","High in USDA data not in DEQ","BRUNSWICK",1280,1240,40,3.23,3.12,39.936
"7",35,51035,"Carroll County","High in USDA data not in DEQ","CARROLL",1086,1067,19,1.78,1.75,19.005
"8",53,51053,"Dinwiddie County","High in USDA data not in DEQ","DINWIDDIE",1162,1109,53,4.78,4.56,52.9872
"9",139,51139,"Page County","High in USDA data not in DEQ","PAGE",1005,986,19,1.93,1.89,18.9945
"10",153,51153,"Prince William County","High in USDA data not in DEQ","PRINCE WILLIAM",1006,937,69,7.36,6.86,69.0116
"11",181,51181,"Surry County","High in USDA data not in DEQ","SURRY",1238,1173,65,5.54,5.25,64.995
"12",183,51183,"Sussex County","High in USDA data not in DEQ","SUSSEX",1371,1346,25,1.86,1.82,24.9522
