"","Countycode","GEOID","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status"
"1",1,51001,"Accomack County",9716,58,1,12,12,"High in both datasets"
"2",131,51131,"Northampton County",9338,66,2,11,11,"High in both datasets"
"3",143,51143,"Pittsylvania County",5606,235,3,1,7,"High in USDA data not in DEQ"
"4",117,51117,"Mecklenburg County",4158,123,5,4,5,"High in USDA data not in DEQ"
"5",165,51165,"Rockingham County",4355,141,4,2,5,"High in both datasets"
"6",15,51015,"Augusta County",3416,101,7,5,4,"High in both datasets"
"7",107,51107,"Loudoun County",3666,93,6,6,4,"High in USDA data not in DEQ"
"8",33,51033,"Caroline County",2272,24,12,34,3,"High in both datasets"
"9",83,51083,"Halifax County",2617,126,8,3,3,"High in USDA data not in DEQ"
"10",85,51085,"Hanover County",2392,66,10,10,3,"High in both datasets"
"11",101,51101,"King William County",2456,19,9,38,3,"High in USDA data not in DEQ"
"12",175,51175,"Southampton County",2384,20,11,37,3,"High in USDA data not in DEQ"
"13",25,51025,"Brunswick County",1474,58,15.5,13,2,"High in USDA data not in DEQ"
"14",31,51031,"Campbell County",1328,71,20,9,2,"High in USDA data not in DEQ"
"15",37,51037,"Charlotte County",1454,81,18,8,2,"High in USDA data not in DEQ"
"16",111,51111,"Lunenburg County",1483,51,14,15,2,"High in USDA data not in DEQ"
"17",137,51137,"Orange County",1556,35,13,25,2,"High in USDA data not in DEQ"
"18",181,51181,"Surry County",1472,17,17,43,2,"High in USDA data not in DEQ"
"19",183,51183,"Sussex County",1410,15,19,45,2,"High in USDA data not in DEQ"
"20",193,51193,"Westmoreland County",1474,31,15.5,28,2,"High in both datasets"
"21",7,51007,"Amelia County",886,36,27,22,1,"High in USDA data not in DEQ"
"22",35,51035,"Carroll County",785,36,30,23,1,"High in USDA data not in DEQ"
