"","Countycode","GEOID","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status"
"1",131,51131,"Northampton County",6336,44,1,13,10,"High in both datasets"
"2",1,51001,"Accomack County",5370,44,3,12,9,"High in both datasets"
"3",165,51165,"Rockingham County",5645,182,2,1,9,"High in both datasets"
"4",143,51143,"Pittsylvania County",3716,120,4,2,6,"High in USDA data not in DEQ"
"5",15,51015,"Augusta County",3271,95,6,3,5,"High in both datasets"
"6",85,51085,"Hanover County",3338,81,5,5,5,"High in both datasets"
"7",117,51117,"Mecklenburg County",2760,67,8,7,5,"High in USDA data not in DEQ"
"8",175,51175,"Southampton County",3246,20,7,36,5,"High in USDA data not in DEQ"
"9",83,51083,"Halifax County",2152,85,9,4,4,"High in USDA data not in DEQ"
"10",33,51033,"Caroline County",1959,18,10,39,3,"High in both datasets"
"11",193,51193,"Westmoreland County",1641,26,11,27,3,"High in USDA data not in DEQ"
"12",25,51025,"Brunswick County",1281,22,14,33,2,"High in USDA data not in DEQ"
"13",35,51035,"Carroll County",1086,23,18,30,2,"High in USDA data not in DEQ"
"14",36,51036,"Charles City County",1435,10,12,47,2,"High in both datasets"
"15",53,51053,"Dinwiddie County",1161,30,16,20,2,"High in USDA data not in DEQ"
"16",101,51101,"King William County",1125,15,17,42,2,"High in both datasets"
"17",139,51139,"Page County",1004,22,20,34,2,"High in USDA data not in DEQ"
"18",153,51153,"Prince William County",1006,27,19,24,2,"High in USDA data not in DEQ"
"19",181,51181,"Surry County",1237,21,15,35,2,"High in USDA data not in DEQ"
"20",183,51183,"Sussex County",1372,20,13,38,2,"High in USDA data not in DEQ"
