"","COUNTYFP","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","percet_withdrawal","status"
"1",1,51001,"Accomack County",23,1673.84777,1,2,25,"High in both datasets"
"2",85,51085,"Hanover County",13,583.82644,2,4,9,"High in both datasets"
"3",33,51033,"Caroline County",6,543.92,3,6,8,"High in both datasets"
"4",131,51131,"Northampton County",26,509.60573,4,1,8,"High in both datasets"
"5",125,51125,"Nelson County",2,474.32,5,22,7,"High in both datasets"
"6",97,51097,"King and Queen County",3,418.6888,6,12,6,"High in both datasets"
"7",36,51036,"Charles City County",6,344.0851,7,7,5,"High in both datasets"
"8",193,51193,"Westmoreland County",3,321.7426,8,16,5,"High in DEQ data not in USDA"
"9",101,51101,"King William County",3,285.391,9,13,4,"High in both datasets"
"10",165,51165,"Rockingham County",15,254.245,10,3,4,"High in both datasets"
