"","County_Code","County_Name","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins","GEOID","data_status"
"1",1,"ACCOMACK",58,9716,7,11,"51001","Available in both datasets"
"2",3,"ALBEMARLE",74,1387,7,10,"51003","Available in USDA dataset"
"3",5,"ALLEGHANY",9,191,1,5,"51005","Available in both datasets"
"4",7,"AMELIA",36,886,6,11,"51007","Available in both datasets"
"5",9,"AMHERST",14,144,3,6,"51009","Available in USDA dataset"
"6",11,"APPOMATTOX",23,507,3,11,"51011","Available in USDA dataset"
"7",15,"AUGUSTA",101,3416,9,11,"51015","Available in both datasets"
"8",17,"BATH",6,110,0,3,"51017","Available in USDA dataset"
"9",19,"BEDFORD",57,676,8,10,"51019","Available in USDA dataset"
"10",21,"BLAND",9,135,1,5,"51021","Available in USDA dataset"
"11",23,"BOTETOURT",24,253,3,9,"51023","Available in USDA dataset"
"12",25,"BRUNSWICK",58,1474,8,12,"51025","Available in both datasets"
"14",29,"BUCKINGHAM",11,469,0,6,"51029","Available in USDA dataset"
"15",31,"CAMPBELL",71,1328,9,11,"51031","Available in both datasets"
"16",33,"CAROLINE",24,2272,3,10,"51033","Available in both datasets"
"17",35,"CARROLL",36,785,5,9,"51035","Available in both datasets"
"18",36,"CHARLES CITY",14,1122,2,6,"51036","Available in both datasets"
"19",37,"CHARLOTTE",81,1454,9,12,"51037","Available in both datasets"
"20",41,"CHESTERFIELD",20,572,2,8,"51041","Available in both datasets"
"21",43,"CLARKE",28,326,4,10,"51043","Available in both datasets"
"22",45,"CRAIG",13,130,1,6,"51045","Available in USDA dataset"
"23",47,"CULPEPER",34,589,4,10,"51047","Available in both datasets"
"24",49,"CUMBERLAND",15,222,2,6,"51049","Available in USDA dataset"
"26",53,"DINWIDDIE",55,1163,9,12,"51053","Available in both datasets"
"27",57,"ESSEX",11,246,1,5,"51057","Available in both datasets"
"28",59,"FAIRFAX",24,102,1,4,"51059","Available in both datasets"
"29",61,"FAUQUIER",63,862,6,11,"51061","Available in USDA dataset"
"30",63,"FLOYD",48,779,5,8,"51063","Available in USDA dataset"
"31",65,"FLUVANNA",12,57,1,4,"51065","Available in USDA dataset"
"32",67,"FRANKLIN",88,1126,9,11,"51067","Available in both datasets"
"33",69,"FREDERICK",44,520,5,11,"51069","Available in both datasets"
