"","COUNTYFP","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Irrigated_Acreage","Irrigated_Operations"
"1",1,51001,"Accomack County",23,1673.84777,5078,36
"2",101,51101,"King William County",3,285.391,1618,10
"3",119,51119,"Middlesex County",2,22.39,270,10
"4",121,51121,"Montgomery County",3,42.2739,323,18
"5",125,51125,"Nelson County",2,474.32,1016,39
"6",127,51127,"New Kent County",2,24.19,271,18
"7",131,51131,"Northampton County",26,509.60573,5858,33
"8",139,51139,"Page County",1,25.55,108,10
"9",143,51143,"Pittsylvania County",2,0,1492,54
"10",145,51145,"Powhatan County",1,4.3,63,11
"11",15,51015,"Augusta County",11,175.66,2549,64
"12",153,51153,"Prince William County",4,14.541,944,30
"13",161,51161,"Roanoke County",1,0.75,71,16
"14",165,51165,"Rockingham County",15,254.245,5526,160
"15",171,51171,"Shenandoah County",3,36.38,893,38
"16",175,51175,"Southampton County",6,138.2595,1624,15
"17",177,51177,"Spotsylvania County",1,0.146,96,16
"18",181,51181,"Surry County",2,43.719,929,13
"19",183,51183,"Sussex County",4,195.364,699,8
"20",19,51019,"Bedford County",1,16.15,51,30
"21",193,51193,"Westmoreland County",3,321.7426,881,37
"22",31,51031,"Campbell County",1,121.59,313,24
"23",33,51033,"Caroline County",6,543.92,3411,19
"24",36,51036,"Charles City County",6,344.0851,1376,10
"25",37,51037,"Charlotte County",1,15.35,533,37
"26",43,51043,"Clarke County",2,16.56,144,14
"27",45,51045,"Craig County",1,0,115,10
"28",47,51047,"Culpeper County",2,81.2651,615,36
"29",53,51053,"Dinwiddie County",6,31.129,1578,22
"30",550,51550,"Chesapeake city",1,0.896212,72,19
"31",63,51063,"Floyd County",1,31.672,182,46
"32",7,51007,"Amelia County",2,9.343,204,14
"33",800,51800,"Suffolk city",1,111.95,585,12
"34",83,51083,"Halifax County",1,0,1061,40
"35",85,51085,"Hanover County",13,583.82644,3570,58
"36",93,51093,"Isle of Wight County",2,71.1,933,18
"37",97,51097,"King and Queen County",3,418.6888,1221,16
