County,c2002,c2007,c2012,c2017,Tau_MK,p_MK,Monotonic
GLOUCESTER,0.063307235,0,0,0,-0.707,0.371,Y
WARREN,0.012221197,0,0,0,-0.707,0.371,Y
GILES,0.003600383,0.000420867,0,0,-0.913,0.149,Y
LEE,1.105286063,0.187326049,0,0,-0.913,0.149,Y
MATHEWS,59.14645103,3.092023718,0,0,-0.913,0.149,Y
PULASKI,0.105294496,0.069474547,0,0,-0.913,0.149,Y
SMYTH,0.078539364,0.039900975,0,0,-0.913,0.149,Y
STAFFORD,0.027956677,0.025329825,0,0,-0.913,0.149,Y
BEDFORD,0.058965257,0.04352359,0.00165192,-0.002349188,-1,0.089,Y
BOTETOURT,0.035013973,0.032106095,0.022579646,0,-1,0.089,Y
CAMPBELL,0.305199905,0.139799886,0.025391888,0.015569838,-1,0.089,Y
CULPEPER,0.458640281,0.231110553,0.203931761,0.149434562,-1,0.089,Y
FRANKLIN,1.081823598,0.809824795,0.608161659,0.275774382,-1,0.089,Y
FREDERICK,0.2729975,0.046318491,0.022887561,0.006220894,-1,0.089,Y
LOUDOUN,0.934356713,0.817772831,0.084377852,0.017206872,-1,0.089,Y
LOUISA,0.829473726,0.590331919,0.426732302,0.260081322,-1,0.089,Y
NOTTOWAY,1.155916866,0.421113495,0.028018119,0,-1,0.089,Y
RAPPAHANNOCK,12.79774973,2.920608226,0.993202417,0,-1,0.089,Y
SCOTT,0.614965465,0.20964081,0.037682577,0,-1,0.089,Y
SUSSEX,1.640103844,1.443938072,1.255700461,0.169099715,-1,0.089,Y
WASHINGTON,0.091534376,0.042324439,0.018040909,0.008432703,-1,0.089,Y
WYTHE,0.351336439,0.021375931,0.004007738,0,-1,0.089,Y
BRUNSWICK,0.943542425,0.827691197,1.445251145,1.633840592,0.667,0.308,N
FAIRFAX,-0.000460305,-0.000510384,0,0,0.548,0.47,N
CAROLINE,0.140962938,0.261565112,0.117334353,0.589500492,0.333,0.734,N
ISLE OF WIGHT,0.019710032,0.015114269,0.057914131,0.036393777,0.333,0.734,N
YORK,0,0,0.000698031,0,0.236,1,N
GOOCHLAND,0.068690397,0,0,0.069134688,0.183,1,N
DINWIDDIE,5.348210719,5.648922458,11.1882583,4.43450494,0,1,N
FLUVANNA,0.071226845,0.342127111,0.129020017,0.113312955,0,1,N
HANOVER,0.185143589,1.282913709,0.94678145,0.788276091,0,1,N
KING AND QUEEN,0.615693473,-0.983574685,-0.982930384,0.395943814,0,1,N
LUNENBURG,3.119339394,1.972729333,1.100259307,3.570331428,0,1,N
MECKLENBURG,1.902465095,2.691952856,1.80281445,2.644963641,0,1,N
